Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
25,Male,Sneakers,Accessories,55,Pennsylvania,L,Turquoise,Spring,3.5,Yes,Free Shipping,Yes,Yes,44,Venmo,Every 3 Months
41,Female,Sandals,Outerwear,91,Arizona,L,White,Spring,4.0,Yes,Next Day Air,No,Yes,49,PayPal,Annually
69,Male,Coat,Accessories,53,California,XL,Turquoise,Fall,4.3,Yes,Express,Yes,No,46,Venmo,Monthly
37,Female,Coat,Footwear,36,Kentucky,S,Gray,Winter,4.7,No,Free Shipping,No,Yes,29,PayPal,Weekly
33,Female,Sweater,Footwear,40,Georgia,XL,White,Summer,4.7,No,Free Shipping,Yes,Yes,1,PayPal,Every 3 Months
21,Female,Handbag,Clothing,94,Pennsylvania,L,White,Fall,4.5,Yes,2-Day Shipping,Yes,Yes,48,Cash,Weekly
33,Female,Coat,Accessories,52,Oregon,XL,Beige,Winter,4.3,No,Next Day Air,No,Yes,44,Cash,Annually
54,Male,Coat,Footwear,20,Florida,L,Pink,Fall,2.6,Yes,Express,No,Yes,6,PayPal,Monthly
23,Female,Sweater,Outerwear,62,Maine,L,Turquoise,Winter,3.7,Yes,Free Shipping,No,Yes,21,PayPal,Bi-Weekly
23,Male,Sandals,Footwear,79,Colorado,M,Beige,Summer,2.7,No,Standard,Yes,Yes,38,Venmo,Monthly
64,Male,Pants,Accessories,39,Arizona,S,Gray,Fall,4.6,No,Express,No,Yes,50,Cash,Every 3 Months
49,Female,Socks,Outerwear,25,Illinois,L,Yellow,Spring,5.0,Yes,2-Day Shipping,No,No,24,Venmo,Quarterly
70,Male,Hat,Outerwear,39,Colorado,S,Green,Fall,5.0,No,2-Day Shipping,Yes,No,45,Venmo,Monthly
22,Female,Sandals,Clothing,61,California,XL,Gray,Winter,3.7,No,Express,No,Yes,44,Cash,Weekly
66,Male,Sneakers,Outerwear,96,New York,XL,Gray,Summer,4.7,No,Next Day Air,Yes,No,39,Cash,Weekly
52,Female,Blouse,Clothing,26,Pennsylvania,L,Maroon,Fall,4.9,No,Express,Yes,No,44,Cash,Weekly
67,Male,Jewelry,Clothing,100,Ohio,S,Red,Summer,3.7,Yes,Standard,Yes,No,5,Cash,Monthly
26,Male,Shirt,Footwear,98,Arizona,L,Purple,Winter,3.9,Yes,2-Day Shipping,Yes,Yes,37,Cash,Annually
26,Female,Pants,Footwear,58,Florida,L,White,Winter,3.1,Yes,2-Day Shipping,Yes,No,17,Debit Card,Bi-Weekly
60,Male,Hat,Clothing,82,New York,M,Maroon,Winter,2.9,Yes,Express,Yes,No,47,Venmo,Annually
48,Male,Hat,Accessories,93,Massachusetts,XL,Blue,Spring,4.9,No,2-Day Shipping,No,Yes,21,PayPal,Monthly
53,Female,Shorts,Clothing,90,Washington,S,Red,Summer,4.2,No,Standard,Yes,No,29,Credit Card,Quarterly
28,Female,Dress,Accessories,65,Oregon,XL,Beige,Spring,2.8,Yes,Free Shipping,Yes,No,23,Venmo,Bi-Weekly
34,Female,Socks,Outerwear,29,Arizona,M,Beige,Spring,5.0,No,Next Day Air,Yes,No,48,PayPal,Monthly
51,Female,Dress,Outerwear,60,Illinois,XL,Maroon,Summer,2.6,No,Express,Yes,Yes,31,Cash,Monthly
56,Male,Sweater,Outerwear,87,Florida,M,Blue,Winter,4.8,Yes,Express,No,No,24,Cash,Quarterly
45,Female,Jeans,Clothing,48,Pennsylvania,XL,Yellow,Spring,3.3,No,Express,No,No,32,Cash,Weekly
31,Female,Coat,Accessories,43,Arizona,S,Turquoise,Summer,3.5,No,Standard,Yes,No,20,Credit Card,Every 3 Months
52,Female,Jewelry,Clothing,86,Kentucky,M,Black,Fall,3.2,No,2-Day Shipping,Yes,Yes,49,PayPal,Monthly
66,Female,Sweater,Outerwear,28,Washington,XL,Maroon,Spring,4.3,Yes,Free Shipping,No,No,32,PayPal,Weekly
64,Male,Shirt,Footwear,84,Georgia,M,Purple,Winter,4.2,No,Next Day Air,Yes,No,21,PayPal,Quarterly
62,Male,Pants,Outerwear,40,New York,S,Yellow,Summer,4.9,Yes,Standard,Yes,No,35,PayPal,Monthly
30,Male,Shirt,Outerwear,73,Kentucky,XL,Pink,Spring,4.2,No,Standard,No,No,48,Cash,Annually
63,Female,Sweater,Footwear,89,Pennsylvania,L,Maroon,Winter,4.2,No,Next Day Air,Yes,Yes,13,Cash,Monthly
37,Male,Hoodie,Accessories,88,Texas,S,Pink,Winter,4.8,Yes,Free Shipping,No,No,15,Debit Card,Quarterly
43,Male,Hat,Outerwear,71,Ohio,S,Beige,Summer,4.1,Yes,Express,No,No,38,PayPal,Weekly
60,Female,Shirt,Accessories,31,Massachusetts,S,Purple,Fall,3.7,No,Express,Yes,Yes,11,PayPal,Weekly
59,Male,Dress,Footwear,64,Georgia,S,Pink,Winter,4.5,Yes,Express,No,No,3,Debit Card,Monthly
41,Male,Sweater,Footwear,48,California,L,White,Summer,3.3,Yes,Free Shipping,Yes,No,45,Cash,Monthly
46,Female,Blouse,Footwear,47,Washington,XL,Green,Spring,3.1,No,2-Day Shipping,No,Yes,23,Debit Card,Bi-Weekly
51,Male,Dress,Clothing,62,Colorado,S,Maroon,Fall,3.9,Yes,2-Day Shipping,No,Yes,27,PayPal,Annually
46,Female,Sandals,Accessories,62,Oregon,XL,Black,Summer,4.8,No,Standard,Yes,Yes,30,PayPal,Weekly
25,Male,Socks,Clothing,66,Illinois,M,Purple,Summer,2.7,Yes,Express,Yes,Yes,30,Debit Card,Bi-Weekly
33,Male,Dress,Footwear,57,Ohio,S,Maroon,Fall,3.4,No,2-Day Shipping,No,No,21,PayPal,Every 3 Months
32,Female,Scarf,Outerwear,47,Michigan,S,Red,Winter,4.8,No,Standard,Yes,Yes,26,Cash,Every 3 Months
22,Male,Jewelry,Clothing,99,Ohio,XL,Red,Winter,4.4,No,Express,Yes,Yes,30,Venmo,Every 3 Months
39,Female,Handbag,Outerwear,87,Rhode Island,L,Purple,Spring,4.3,Yes,Standard,No,No,30,PayPal,Weekly
19,Female,Hat,Clothing,80,Rhode Island,M,Yellow,Spring,4.1,Yes,Standard,No,Yes,29,PayPal,Monthly
55,Female,Sneakers,Accessories,91,Washington,L,Blue,Spring,4.5,Yes,Free Shipping,No,No,10,Cash,Weekly
53,Female,Handbag,Outerwear,21,Massachusetts,XL,Yellow,Fall,4.9,Yes,Standard,No,No,10,Venmo,Weekly
32,Male,Scarf,Clothing,34,Maine,S,Yellow,Fall,3.6,No,Standard,Yes,No,48,Debit Card,Monthly
55,Male,Jacket,Footwear,64,Oregon,XL,Black,Winter,3.1,No,2-Day Shipping,No,No,49,Cash,Monthly
32,Female,Shorts,Footwear,77,New York,XL,Blue,Summer,3.1,No,Free Shipping,No,Yes,25,Debit Card,Monthly
18,Male,Sandals,Accessories,50,Maine,XL,Black,Winter,3.2,Yes,Express,No,Yes,27,PayPal,Weekly
22,Male,Socks,Accessories,98,California,XL,Turquoise,Summer,2.8,Yes,Standard,No,No,2,Debit Card,Bi-Weekly
63,Male,Shirt,Clothing,99,Rhode Island,S,Maroon,Fall,3.4,Yes,Express,No,Yes,9,PayPal,Every 3 Months
58,Male,Scarf,Footwear,51,Colorado,M,Turquoise,Fall,4.0,Yes,2-Day Shipping,Yes,Yes,21,Cash,Bi-Weekly
21,Female,Jacket,Outerwear,25,California,S,Black,Winter,3.0,No,Next Day Air,Yes,Yes,25,Cash,Every 3 Months
32,Male,Shirt,Clothing,61,Rhode Island,XL,White,Fall,4.9,No,Next Day Air,No,Yes,41,PayPal,Weekly
22,Female,Blouse,Clothing,68,Maine,XL,Green,Winter,3.9,Yes,Free Shipping,Yes,Yes,10,Debit Card,Bi-Weekly
20,Male,Socks,Footwear,34,Georgia,S,Blue,Fall,2.8,No,Next Day Air,Yes,No,26,Venmo,Weekly
39,Male,Dress,Accessories,69,Colorado,L,White,Spring,3.3,No,Standard,No,Yes,24,Cash,Monthly
22,Female,Shorts,Outerwear,52,Washington,L,Purple,Winter,3.5,No,Express,No,Yes,1,Cash,Monthly
50,Female,Shirt,Accessories,89,Florida,L,Gray,Summer,4.3,Yes,Free Shipping,No,No,28,Debit Card,Every 3 Months
33,Female,Hoodie,Clothing,56,Maine,XL,Green,Winter,3.3,No,Free Shipping,Yes,Yes,43,Credit Card,Every 3 Months
35,Female,Pants,Clothing,23,Pennsylvania,S,Pink,Spring,4.0,Yes,Express,No,Yes,12,PayPal,Weekly
60,Male,Handbag,Footwear,86,Texas,S,Red,Spring,3.0,Yes,2-Day Shipping,No,No,10,Debit Card,Annually
49,Female,Socks,Accessories,67,Massachusetts,L,Yellow,Summer,3.5,Yes,Express,Yes,Yes,38,Debit Card,Every 3 Months
31,Female,Jeans,Clothing,85,Kentucky,L,Maroon,Fall,3.6,No,Free Shipping,Yes,Yes,12,Cash,Every 3 Months
52,Male,Hoodie,Clothing,85,California,S,Red,Fall,4.4,No,Standard,No,Yes,14,PayPal,Annually
26,Male,Sandals,Accessories,77,Colorado,XL,Pink,Winter,4.5,No,2-Day Shipping,Yes,Yes,7,Debit Card,Every 3 Months
64,Female,Shirt,Footwear,82,Massachusetts,L,Blue,Spring,4.8,Yes,2-Day Shipping,No,Yes,2,Venmo,Monthly
54,Female,Sneakers,Footwear,25,Arizona,M,Green,Spring,2.8,Yes,Express,No,No,26,PayPal,Every 3 Months
54,Female,Hat,Outerwear,57,Maine,M,Beige,Summer,4.2,No,Express,Yes,Yes,31,Debit Card,Annually
48,Female,Socks,Outerwear,44,Pennsylvania,S,Black,Spring,4.0,No,Free Shipping,Yes,No,10,Venmo,Monthly
33,Female,Coat,Outerwear,61,Michigan,XL,White,Spring,2.8,No,Express,Yes,Yes,18,Venmo,Weekly
68,Female,Blouse,Accessories,85,Pennsylvania,M,Turquoise,Fall,2.5,No,Express,No,No,22,PayPal,Quarterly
48,Female,Jacket,Outerwear,30,Maine,L,Red,Fall,4.6,Yes,Express,Yes,No,13,Cash,Weekly
69,Male,Hoodie,Outerwear,32,Florida,XL,Green,Winter,3.3,No,Free Shipping,No,No,2,Venmo,Monthly
44,Female,Coat,Accessories,41,Washington,S,Yellow,Winter,4.5,No,Standard,No,No,32,Cash,Quarterly
30,Female,Scarf,Outerwear,88,Maine,L,Red,Fall,3.2,No,Free Shipping,No,No,26,PayPal,Weekly
24,Male,Jacket,Footwear,88,Massachusetts,XL,White,Summer,3.0,Yes,Next Day Air,No,No,11,Debit Card,Annually
24,Male,Socks,Clothing,20,Illinois,S,Gray,Spring,4.2,Yes,Express,Yes,No,20,PayPal,Monthly
60,Female,Dress,Footwear,100,Massachusetts,XL,Beige,Winter,2.9,Yes,Next Day Air,No,Yes,36,Cash,Monthly
45,Female,Blouse,Footwear,28,California,M,Purple,Winter,3.2,Yes,Next Day Air,Yes,No,18,Credit Card,Annually
40,Female,Jacket,Clothing,46,Washington,M,Gray,Fall,4.4,No,2-Day Shipping,No,Yes,15,PayPal,Weekly
45,Female,T-shirt,Footwear,100,Rhode Island,S,Yellow,Summer,4.6,No,Free Shipping,Yes,Yes,13,Credit Card,Bi-Weekly
44,Male,Coat,Clothing,47,Rhode Island,M,Beige,Summer,4.6,Yes,Next Day Air,Yes,No,32,Venmo,Weekly
47,Female,Sweater,Footwear,74,Texas,S,Gray,Fall,2.6,Yes,Free Shipping,No,No,39,Cash,Weekly
64,Female,Sandals,Accessories,33,Georgia,M,Yellow,Summer,,No,2-Day Shipping,No,Yes,47,Venmo,Every 3 Months
21,Male,Scarf,Accessories,46,California,XL,Beige,Spring,3.8,Yes,Standard,No,Yes,32,Credit Card,Weekly
61,Male,Dress,Outerwear,88,California,XL,Black,Summer,4.2,No,Standard,No,Yes,28,Credit Card,Weekly
59,Female,Shirt,Accessories,75,Washington,S,White,Winter,3.2,No,Express,Yes,No,28,Debit Card,Quarterly
59,Female,Hoodie,Clothing,29,Texas,L,Pink,Spring,4.6,Yes,Express,Yes,Yes,11,PayPal,Weekly
24,Male,Handbag,Outerwear,39,New York,XL,Blue,Winter,3.9,No,Express,No,Yes,32,Venmo,Quarterly
21,Female,Dress,Footwear,23,Michigan,XL,White,Summer,4.1,No,Next Day Air,No,No,43,Venmo,Monthly
43,Male,Sandals,Accessories,78,Rhode Island,S,Beige,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
64,Male,Dress,Outerwear,62,Pennsylvania,S,Yellow,Fall,3.2,No,Free Shipping,No,Yes,23,Cash,Every 3 Months
39,Female,T-shirt,Accessories,24,Arizona,L,Red,Winter,4.9,Yes,Standard,Yes,No,7,PayPal,Weekly
69,Male,Coat,Outerwear,31,Michigan,S,Beige,Spring,2.6,No,Next Day Air,Yes,Yes,5,Cash,Monthly
24,Male,Coat,Clothing,29,Rhode Island,L,Maroon,Summer,4.5,Yes,Free Shipping,No,No,21,Cash,Bi-Weekly
33,Male,Sneakers,Clothing,26,New York,S,Pink,Fall,2.9,Yes,Standard,No,No,46,Venmo,Every 3 Months
30,Female,Hat,Footwear,42,New York,XL,Black,Spring,4.3,Yes,Next Day Air,No,Yes,31,Debit Card,Every 3 Months
30,Female,Sneakers,Outerwear,52,Georgia,S,Green,Summer,4.6,Yes,Next Day Air,No,Yes,39,PayPal,Bi-Weekly
52,Male,Scarf,Clothing,91,Washington,M,Blue,Summer,4.8,No,2-Day Shipping,No,No,19,Credit Card,Weekly
46,Female,T-shirt,Footwear,29,Ohio,XL,Gray,Summer,3.1,Yes,Next Day Air,Yes,Yes,10,Venmo,Monthly
26,Male,Pants,Outerwear,93,New York,M,Blue,Fall,4.3,No,Free Shipping,No,Yes,16,Venmo,Bi-Weekly
45,Male,Jewelry,Footwear,49,Arizona,M,White,Summer,4.8,Yes,2-Day Shipping,No,No,34,Cash,Bi-Weekly
29,Female,Hat,Clothing,53,Pennsylvania,S,White,Spring,4.4,No,Next Day Air,No,Yes,32,Credit Card,Annually
35,Female,Jewelry,Footwear,72,Ohio,S,Maroon,Summer,4.6,Yes,Next Day Air,No,No,14,Venmo,Every 3 Months
47,Female,Shorts,Outerwear,69,Ohio,M,Black,Summer,4.3,Yes,2-Day Shipping,No,Yes,27,Venmo,Annually
33,Male,Coat,Accessories,77,Pennsylvania,XL,White,Spring,3.2,Yes,2-Day Shipping,No,Yes,32,Venmo,Weekly
22,Male,Jeans,Clothing,100,Michigan,S,Black,Fall,4.5,No,Express,Yes,Yes,1,PayPal,Annually
46,Male,Handbag,Outerwear,71,Michigan,XL,Turquoise,Summer,4.8,No,Express,Yes,No,20,Credit Card,Weekly
69,Female,Scarf,Outerwear,75,Ohio,S,Green,Winter,2.9,Yes,Next Day Air,Yes,Yes,41,Debit Card,Quarterly
53,Female,Handbag,Footwear,60,Texas,M,Beige,Spring,2.6,No,Standard,No,No,11,Debit Card,Bi-Weekly
24,Male,T-shirt,Clothing,22,California,M,Red,Winter,3.5,No,2-Day Shipping,No,No,22,Credit Card,Annually
21,Female,Jeans,Accessories,69,Georgia,S,Beige,Fall,3.6,Yes,Standard,No,Yes,41,PayPal,Annually
59,Female,Sandals,Accessories,35,Florida,M,Blue,Winter,3.7,No,Next Day Air,No,Yes,20,Credit Card,Bi-Weekly
52,Female,Sweater,Footwear,88,Pennsylvania,S,Gray,Winter,3.4,No,Express,Yes,No,44,Credit Card,Bi-Weekly
18,Female,Jewelry,Clothing,20,Arizona,L,White,Spring,3.5,No,Free Shipping,Yes,Yes,40,Credit Card,Annually
23,Male,Handbag,Accessories,99,Arizona,S,Maroon,Fall,2.7,No,Free Shipping,Yes,No,28,PayPal,Annually
66,Female,Shorts,Clothing,28,Georgia,XL,Green,Fall,4.3,No,2-Day Shipping,No,Yes,40,Credit Card,Every 3 Months
33,Male,Jewelry,Footwear,94,Kentucky,M,Green,Fall,3.2,No,Free Shipping,Yes,No,8,Cash,Bi-Weekly
28,Male,Sneakers,Clothing,25,Maine,S,Yellow,Winter,4.8,No,Next Day Air,Yes,No,39,Cash,Quarterly
44,Male,Shirt,Clothing,29,Illinois,S,Blue,Winter,4.3,No,2-Day Shipping,Yes,Yes,9,PayPal,Weekly
49,Female,Socks,Clothing,65,Kentucky,S,Red,Winter,3.9,Yes,Free Shipping,No,No,34,Debit Card,Annually
48,Female,Handbag,Footwear,84,Washington,XL,Yellow,Fall,2.7,Yes,Express,Yes,Yes,19,Credit Card,Every 3 Months
31,Male,Scarf,Footwear,33,Oregon,M,Blue,Winter,3.3,No,Next Day Air,Yes,Yes,22,Venmo,Monthly
43,Female,Sandals,Footwear,57,Illinois,S,Maroon,Summer,4.5,No,Free Shipping,No,No,47,Debit Card,Every 3 Months
21,Male,Shorts,Accessories,58,Kentucky,M,Turquoise,Fall,4.7,No,Express,Yes,No,24,Credit Card,Annually
28,Female,Hat,Outerwear,97,Illinois,XL,Yellow,Summer,2.6,Yes,Free Shipping,No,Yes,45,Cash,Bi-Weekly
42,Male,Jeans,Clothing,31,Texas,L,White,Fall,4.8,Yes,Standard,No,No,9,Credit Card,Quarterly
18,Female,Handbag,Outerwear,56,California,XL,Pink,Spring,3.3,No,Standard,No,No,24,Credit Card,Every 3 Months
42,Female,Scarf,Clothing,76,Ohio,L,Maroon,Winter,4.1,No,Express,Yes,Yes,37,Credit Card,Bi-Weekly
34,Female,Sweater,Clothing,68,Kentucky,S,Red,Winter,3.9,No,Express,No,No,31,PayPal,Weekly
68,Female,Scarf,Clothing,70,Florida,M,Blue,Fall,3.6,No,Standard,Yes,No,5,Cash,Quarterly
68,Female,Sneakers,Footwear,23,Washington,L,Purple,Summer,3.7,No,Express,Yes,Yes,2,PayPal,Bi-Weekly
47,Male,Handbag,Accessories,80,Oregon,M,Yellow,Spring,4.7,Yes,Next Day Air,Yes,No,29,PayPal,Every 3 Months
36,Male,Pants,Footwear,40,Rhode Island,S,Pink,Fall,3.0,Yes,Next Day Air,Yes,No,24,Venmo,Annually
45,Female,Scarf,Clothing,88,Maine,M,Yellow,Winter,4.5,Yes,2-Day Shipping,No,Yes,27,Debit Card,Quarterly
62,Male,Sweater,Outerwear,48,Arizona,L,Red,Spring,3.0,Yes,Standard,No,Yes,16,Debit Card,Bi-Weekly
64,Female,Jewelry,Clothing,37,Pennsylvania,S,Green,Winter,4.1,Yes,Next Day Air,Yes,Yes,14,Debit Card,Every 3 Months
68,Male,Scarf,Clothing,70,Oregon,S,Yellow,Summer,3.4,No,Express,Yes,No,21,Cash,Monthly
53,Male,Dress,Accessories,89,Oregon,L,Gray,Summer,4.6,Yes,Express,Yes,Yes,45,Cash,Monthly
60,Female,Blouse,Clothing,57,Florida,M,Gray,Spring,2.8,No,Next Day Air,Yes,No,15,Cash,Bi-Weekly
63,Female,Hoodie,Footwear,38,Pennsylvania,XL,Beige,Winter,4.5,Yes,2-Day Shipping,No,No,21,PayPal,Quarterly
49,Female,Jacket,Accessories,58,Texas,M,Beige,Summer,4.6,No,Standard,Yes,No,41,Cash,Every 3 Months
27,Male,Blouse,Accessories,67,Texas,L,Turquoise,Spring,3.4,Yes,Standard,Yes,Yes,31,PayPal,Quarterly
30,Male,Shorts,Accessories,21,Florida,M,Beige,Spring,5.0,No,Express,Yes,Yes,18,Debit Card,Every 3 Months
36,Male,Jeans,Clothing,90,Illinois,XL,Green,Fall,4.2,No,Standard,No,No,36,Debit Card,Monthly
31,Male,Sweater,Accessories,91,Massachusetts,M,Beige,Summer,2.9,Yes,Standard,Yes,No,22,Credit Card,Monthly
21,Female,Pants,Accessories,38,Georgia,S,Turquoise,Winter,2.6,Yes,Standard,No,No,37,Cash,Bi-Weekly
55,Female,T-shirt,Footwear,35,California,M,Gray,Summer,3.4,No,Express,Yes,No,22,Cash,Every 3 Months
65,Male,Jeans,Outerwear,25,Massachusetts,S,Blue,Fall,3.7,No,Free Shipping,No,No,45,PayPal,Weekly
52,Male,Jewelry,Footwear,20,Ohio,XL,Black,Spring,4.9,Yes,Free Shipping,Yes,No,13,Debit Card,Annually
21,Male,Sweater,Footwear,93,Colorado,M,Beige,Winter,2.8,Yes,Standard,No,No,9,Debit Card,Quarterly
65,Male,Jeans,Outerwear,96,New York,S,White,Spring,3.8,No,Free Shipping,No,Yes,21,Venmo,Monthly
38,Female,Hat,Outerwear,70,Colorado,XL,Red,Fall,3.3,Yes,Standard,Yes,Yes,41,Debit Card,Annually
21,Female,Sweater,Accessories,88,Rhode Island,S,Purple,Winter,3.6,No,2-Day Shipping,No,Yes,37,Cash,Every 3 Months
21,Female,Dress,Footwear,90,Illinois,S,Maroon,Summer,2.9,No,Express,No,No,15,Cash,Quarterly
55,Female,Pants,Clothing,30,Maine,S,Maroon,Fall,4.3,No,Next Day Air,No,Yes,46,Credit Card,Weekly
48,Male,Shirt,Footwear,59,Georgia,M,Turquoise,Spring,3.1,No,Express,Yes,No,38,Debit Card,Weekly
50,Female,Sneakers,Outerwear,46,Massachusetts,S,Black,Spring,2.8,Yes,2-Day Shipping,Yes,Yes,40,Credit Card,Quarterly
51,Male,Pants,Accessories,64,Maine,L,Pink,Spring,3.5,No,Next Day Air,No,No,16,Cash,Every 3 Months
28,Female,T-shirt,Accessories,47,Ohio,XL,Yellow,Winter,3.3,Yes,Express,Yes,No,16,Cash,Bi-Weekly
21,Female,Hoodie,Accessories,72,Pennsylvania,XL,Beige,Spring,4.0,No,2-Day Shipping,No,Yes,32,PayPal,Annually
50,Female,Scarf,Clothing,85,Michigan,M,Turquoise,Winter,2.9,No,Next Day Air,Yes,No,37,Venmo,Monthly
23,Male,Hoodie,Clothing,38,Michigan,M,Purple,Spring,4.4,No,Next Day Air,No,No,31,Credit Card,Annually
29,Female,Hoodie,Outerwear,40,Rhode Island,M,Beige,Summer,4.4,No,2-Day Shipping,No,No,2,Credit Card,Bi-Weekly
22,Male,Jeans,Accessories,43,Texas,L,Blue,Spring,5.0,No,Free Shipping,No,Yes,21,Debit Card,Every 3 Months
56,Female,Jewelry,Footwear,48,Kentucky,XL,Red,Summer,4.2,Yes,Express,No,Yes,33,Venmo,Bi-Weekly
22,Female,Sneakers,Accessories,98,Georgia,XL,Green,Spring,2.7,Yes,Next Day Air,No,Yes,7,Debit Card,Annually
61,Male,T-shirt,Footwear,52,Maine,M,Green,Winter,3.7,No,2-Day Shipping,Yes,Yes,25,Debit Card,Every 3 Months
33,Female,Sandals,Footwear,44,Illinois,M,Yellow,Summer,4.5,Yes,Standard,No,Yes,49,Venmo,Weekly
43,Male,Shirt,Clothing,34,Washington,S,Turquoise,Fall,3.5,Yes,Standard,No,Yes,10,Cash,Annually
25,Female,Jewelry,Accessories,43,Maine,M,White,Winter,4.1,Yes,Express,Yes,No,40,Debit Card,Bi-Weekly
54,Female,Hoodie,Outerwear,92,Ohio,XL,Turquoise,Fall,3.6,Yes,Express,Yes,No,21,Debit Card,Bi-Weekly
33,Male,Handbag,Accessories,26,Oregon,S,Beige,Winter,2.5,No,2-Day Shipping,Yes,No,6,Debit Card,Annually
55,Female,Sneakers,Accessories,90,Ohio,L,Purple,Summer,2.8,No,Standard,Yes,Yes,34,PayPal,Weekly
56,Female,Coat,Outerwear,79,Washington,L,Red,Fall,2.8,No,Next Day Air,No,No,32,Credit Card,Bi-Weekly
20,Male,Blouse,Outerwear,90,Texas,XL,White,Fall,4.1,Yes,2-Day Shipping,No,No,30,Credit Card,Bi-Weekly
57,Male,Blouse,Accessories,29,Oregon,S,Black,Summer,4.8,No,Standard,No,No,39,Debit Card,Annually
23,Female,Dress,Outerwear,57,Maine,M,Maroon,Winter,3.1,Yes,Standard,Yes,Yes,47,PayPal,Weekly
44,Male,Scarf,Footwear,28,Georgia,M,Blue,Fall,4.0,No,2-Day Shipping,No,No,18,Venmo,Annually
60,Male,Jewelry,Clothing,52,Arizona,S,Red,Fall,5.0,Yes,2-Day Shipping,Yes,No,5,Cash,Weekly
55,Male,Pants,Outerwear,32,Washington,S,Turquoise,Summer,3.7,No,2-Day Shipping,Yes,Yes,29,Cash,Annually
54,Male,Jewelry,Footwear,45,Massachusetts,L,Blue,Winter,4.2,Yes,Next Day Air,Yes,Yes,25,Venmo,Quarterly
51,Female,Hoodie,Clothing,94,Texas,M,Blue,Spring,2.7,No,Free Shipping,No,Yes,50,Venmo,Bi-Weekly
38,Male,Coat,Outerwear,82,Michigan,XL,Purple,Winter,4.0,Yes,Standard,Yes,Yes,13,Debit Card,Bi-Weekly
34,Male,Coat,Clothing,62,Illinois,M,Black,Summer,3.5,No,Standard,Yes,No,50,Debit Card,Monthly
31,Male,Scarf,Accessories,65,Georgia,L,Gray,Fall,5.0,Yes,Free Shipping,Yes,Yes,18,Credit Card,Weekly
60,Male,T-shirt,Outerwear,36,Oregon,S,Gray,Fall,4.3,No,Free Shipping,No,No,46,Credit Card,Every 3 Months
63,Male,Sneakers,Footwear,50,Oregon,M,Pink,Summer,3.2,No,Express,No,No,10,Venmo,Weekly
38,Male,Jacket,Footwear,32,Ohio,S,Beige,Winter,2.8,Yes,Next Day Air,Yes,Yes,24,Venmo,Annually
33,Male,Shorts,Clothing,56,Massachusetts,M,Purple,Fall,3.3,No,Next Day Air,No,No,50,Venmo,Bi-Weekly
34,Female,Sandals,Footwear,99,Colorado,XL,Beige,Spring,4.3,Yes,Express,No,No,4,Debit Card,Annually
43,Male,Sweater,Footwear,28,Maine,XL,Black,Summer,4.7,Yes,Free Shipping,Yes,No,31,Venmo,Weekly
26,Male,Pants,Outerwear,44,Georgia,M,Maroon,Winter,3.8,Yes,2-Day Shipping,No,No,16,Cash,Annually
60,Female,Blouse,Clothing,60,Florida,M,Green,Winter,3.5,Yes,Next Day Air,Yes,No,15,Venmo,Weekly
59,Male,Coat,Footwear,82,Massachusetts,S,Black,Spring,4.3,No,Next Day Air,No,Yes,41,Credit Card,Quarterly
37,Male,Shorts,Accessories,77,Georgia,S,White,Fall,3.5,No,2-Day Shipping,No,No,1,Cash,Weekly
47,Female,Jeans,Outerwear,62,Washington,L,Yellow,Winter,4.5,Yes,Standard,No,No,21,PayPal,Monthly
38,Male,Sandals,Footwear,98,Michigan,L,Turquoise,Spring,4.5,No,Express,No,Yes,23,Debit Card,Bi-Weekly
66,Male,Sweater,Footwear,59,Oregon,M,Gray,Spring,3.8,Yes,2-Day Shipping,Yes,No,40,Venmo,Quarterly
22,Male,Scarf,Footwear,94,Oregon,XL,Blue,Spring,2.7,Yes,Next Day Air,No,No,31,Venmo,Bi-Weekly
18,Male,Sweater,Outerwear,39,Colorado,L,Purple,Summer,4.6,Yes,Next Day Air,No,No,36,Cash,Bi-Weekly
47,Male,Coat,Outerwear,92,California,L,Blue,Summer,3.8,Yes,Next Day Air,Yes,Yes,10,PayPal,Annually
57,Female,Sweater,Clothing,92,Colorado,XL,Purple,Winter,4.5,No,Next Day Air,Yes,Yes,18,PayPal,Annually
54,Male,Hoodie,Outerwear,66,Georgia,S,White,Winter,4.1,Yes,2-Day Shipping,No,No,21,Credit Card,Weekly
24,Female,Scarf,Footwear,60,California,S,Turquoise,Winter,4.4,Yes,Express,Yes,No,32,Venmo,Monthly
22,Male,Coat,Footwear,74,Washington,S,Maroon,Fall,3.0,Yes,Express,No,No,21,Cash,Monthly
52,Male,Jewelry,Accessories,41,Texas,M,Red,Fall,4.1,Yes,Next Day Air,Yes,Yes,39,Cash,Quarterly
31,Female,Shorts,Outerwear,20,Texas,M,Turquoise,Winter,2.8,No,2-Day Shipping,No,No,35,Venmo,Quarterly
50,Male,Sweater,Footwear,60,Massachusetts,S,Purple,Summer,4.7,Yes,Next Day Air,Yes,Yes,13,Venmo,Annually
34,Male,Sneakers,Accessories,51,Florida,XL,Maroon,Summer,4.2,Yes,Next Day Air,No,No,42,Cash,Every 3 Months
